Date,Open,High,Low,Close,Adj Close,Volume
2019-12-02,120.120003,120.190002,117.910004,118.790001,117.938057,4733500
2019-12-03,117.150002,117.970001,116.059998,117.750000,116.905510,5307100
2019-12-04,119.980003,121.470001,119.410004,120.279999,119.417366,4537600
2019-12-05,120.570000,120.809998,119.769997,120.739998,119.874069,3260400
2019-12-06,121.949997,122.699997,121.879997,122.370003,121.492378,3815900
2019-12-09,122.260002,122.489998,121.870003,122.000000,121.125031,2801300
2019-12-10,122.190002,122.989998,121.169998,121.370003,120.499550,4043400
2019-12-11,121.279999,123.839996,121.199997,123.720001,122.832695,2959800
2019-12-12,123.800003,126.980003,123.029999,126.070000,125.165840,5412700
2019-12-13,125.959999,127.470001,125.389999,126.639999,125.731750,3451500
2019-12-16,127.580002,128.669998,127.070000,127.070000,126.158669,4973100
2019-12-17,127.839996,128.000000,125.970001,127.089996,126.178520,4354200
2019-12-18,127.389999,127.389999,126.000000,126.349998,125.443832,5776200
2019-12-19,126.339996,126.480003,125.000000,126.400002,125.493477,3961500
2019-12-20,127.250000,129.039993,125.849998,128.949997,128.025177,9321400
2019-12-23,129.000000,129.169998,128.160004,128.550003,127.628059,3095000
2019-12-24,128.729996,128.850006,127.889999,128.529999,127.608200,1403400
2019-12-26,128.710007,128.750000,128.050003,128.479996,127.558556,2339900
2019-12-27,128.860001,128.919998,128.089996,128.570007,127.647919,1800600
2019-12-30,128.199997,128.470001,127.040001,127.660004,126.744446,2283700
2019-12-31,127.250000,128.389999,127.059998,128.289993,127.369911,2813300
2020-01-02,129.130005,129.610001,127.769997,129.570007,128.640747,4614000
2020-01-03,127.459999,129.250000,127.230003,127.849998,126.933075,4057200
2020-01-06,127.059998,127.330002,125.900002,126.959999,126.049461,4345400
2020-01-07,129.149994,130.899994,128.419998,129.410004,128.481888,7184100
2020-01-08,129.339996,130.570007,129.059998,129.759995,128.829376,3546900
2020-01-09,130.699997,131.740005,130.240005,131.330002,130.388123,3526600
2020-01-10,131.809998,131.809998,129.820007,130.000000,129.067657,3234000
2020-01-13,130.570007,130.740005,129.770004,129.949997,129.018005,4313200
2020-01-14,129.949997,131.860001,129.830002,130.669998,129.732849,4626200
2020-01-15,130.429993,130.429993,128.860001,129.169998,128.243607,3392300
2020-01-16,130.000000,130.229996,129.350006,130.160004,129.226517,5475900
2020-01-17,130.759995,132.039993,130.440002,131.699997,130.755463,5487100
2020-01-21,131.089996,132.190002,130.580002,130.860001,129.921494,8631500
2020-01-22,132.020004,135.699997,131.820007,133.339996,132.383698,8899700
2020-01-23,131.419998,134.410004,129.649994,134.250000,133.287170,8598700
2020-01-24,134.800003,135.440002,129.750000,130.520004,129.583939,5606800
2020-01-27,128.649994,129.250000,126.239998,126.309998,125.404121,5890900
2020-01-28,127.150002,128.309998,126.760002,128.039993,127.121704,4397500
2020-01-29,127.550003,128.509995,125.440002,125.489998,124.589996,4535000
2020-01-30,123.220001,124.669998,122.220001,124.419998,124.419998,5521300
2020-01-31,123.360001,123.639999,119.959999,120.650002,120.650002,5782500
2020-02-03,121.059998,123.680000,121.059998,123.400002,123.400002,5396400
2020-02-04,126.000000,127.320000,125.360001,126.470001,126.470001,4434700
2020-02-05,128.660004,132.910004,128.660004,132.440002,132.440002,7281800
2020-02-06,133.000000,133.000000,131.479996,132.520004,132.520004,3686600
2020-02-07,131.250000,131.250000,128.509995,128.699997,128.699997,4330900
